DIRECTORIO SECUENCIA_ENCUESTA SECUENCIA_P ORDEN DEPMUNI P5747 P5752 P5752S1 P5090 FEX_C
94607 1 1 1 08001 1 1 3 1 120.803936462481
94609 1 1 1 08001 2 1 3 2 119.978344404677
94611 1 1 1 08001 1 1 1 1 105.819717738388
94613 1 1 1 08001 1 1 3 1 108.436701444319
94615 1 1 1 08001 1 1 1 1 105.264361936886
94617 1 1 1 08001 1 1 3 1 105.839999802492
94619 1 1 1 08001 2 1 3 1 111.707715858367
94621 1 1 1 08001 1 1 2 1 105.218459838756
94623 1 1 1 08001 2 1 3 1 116.679789761971
94625 1 1 1 08001 2 1 3 1 87.145264785945
94627 1 1 1 08001 2 1 3 2 114.108708154171
94629 1 1 1 08001 1 1 3 1 115.126543158015
94631 1 1 1 08001 2 1 3 2 95.3887766308941
94633 1 1 1 08001 1 1 2 2 124.547261311417
94635 1 1 1 08001 1 2  1 98.0070341371076
94637 1 1 1 08001 1 1 1 1 133.853345391646
94639 1 1 1 08001 1 1 2 1 93.3731107439878
94641 1 1 1 08001 1 1 3 3 99.5602807410638
94643 1 1 1 08001 2 1 3 1 115.437840448155
94645 1 1 1 08001 2 1 3 1 125.607677203828
94647 1 1 1 08001 2 1 1 1 103.384953629034
94649 1 1 1 08001 1 1 3 1 105.695190180554
94651 1 1 1 08001 1 2  1 94.9120462890952
94653 1 1 1 08001 1 1 1 1 100.64344236527
94655 1 1 1 08001 2 1 3 2 112.060143990638
94657 1 1 1 08001 2 1 3 2 66.948269763371
94659 1 1 1 08001 2 1 3 1 103.677767046677
94661 1 1 1 08001 1 1 1 1 118.397557572063
94663 1 1 1 08001 2 1 3 1 108.436701444319
94665 1 1 1 08001 2 1 3 2 115.094468672045
94667 1 1 1 08001 2 1 1 1 96.4663413450287
94669 1 1 1 08001 2 1 3 1 133.598068441227
94671 1 1 1 08001 1 1 1 2 100.674583394925
94673 1 1 1 08001 1 1 2 1 116.080229189918
94675 1 1 1 08001 2 1 3 1 136.206753236172
94677 1 1 1 08001 1 1 1 1 91.7722047949296
94679 1 1 1 08001 1 1 3 1 450.460305059372
94681 1 1 1 08001 2 1 3 2 423.700938204588
94683 1 1 1 08001 1 1 3 2 118.946681788673
94685 1 1 1 08001 2 1 3 1 477.193883181928
94689 1 1 1 08001 2 1 3 2 114.801655254402
94691 1 1 1 08001 2 1 3 1 398.241122964255
94693 1 1 1 08001 2 1 3 1 428.993747138043
94695 1 1 1 08001 2 1 3 1 116.080229189918
94697 1 1 1 08001 2 1 3 2 493.907382464023
94699 1 1 1 08001 2 1 3 2 460.377874688179
94701 1 1 1 08001 2 1 3 1 433.746805777277
94703 1 1 1 08001 1 1 2 1 102.724081014774
94705 1 1 1 08001 2 1 3 1 460.377874688179
94707 1 1 1 08001 2 1 3 1 468.44756722369
94709 1 1 1 08001 1 1 3 1 381.86701285998
94711 1 1 1 08001 1 1 1 1 103.292840901139
94713 1 1 1 08001 1 1 1 1 103.861909319139
94715 1 1 1 08001 1 1 3 1 415.107846529803
94717 1 1 1 08001 1 1 3 2 485.837689928511
94719 1 1 1 08001 2 1 3 1 416.567774306393
94721 1 1 1 08001 1 1 1 1 103.631441421249
94723 1 1 1 08001 2 1 3 1 124.922878079624
94725 1 1 1 08001 2 1 3 3 97.4521018629023
94727 1 1 1 08001 2 1 3 2 110.182009483069
94729 1 1 1 08001 2 1 3 1 141.488728626609
94731 1 1 1 08001 2 1 3 2 116.080229189918
94733 1 1 1 08001 2 1 3 2 74.7428026427033
94737 1 1 1 08001 1 1 2 2 111.074383472764
94739 1 1 1 08001 1 1 3 1 124.956649893174
94741 1 1 1 08001 1 1 2 1 83.9716514782291
94743 1 1 1 08001 2 1 3 1 96.9753715211035
94745 1 1 1 08001 1 1 2 1 117.111891805922
94747 1 1 1 08001 1 1 2 1 121.35220834179
94749 1 1 1 08001 1 1 3 1 99.5602807410638
94751 1 1 1 08001 2 1 2 3 122.491085098132
94753 1 1 1 08001 2 1 2 3 122.491085098132
94755 1 1 1 08001 2 1 3 2 115.094468672045
94757 1 1 1 08001 2 1 3 1 115.233757298354
94759 1 1 1 08001 1 1 2 1 112.475787638534
94761 1 1 1 08001 2 1 3 1 123.982431093247
94763 1 1 1 08001 1 1 3 1 126.211668266288
94765 1 1 1 08001 1 1 3 1 138.425336518561
94767 1 1 1 08001 2 1 2 2 123.92498727717
94769 1 1 1 08001 2 1 3 2 116.126131288049
94771 1 1 1 08001 2 1 3 2 117.66938165344
94773 1 1 1 08001 2 1 3 2 116.126131288049
94775 1 1 1 08001 2 1 2 1 112.060143990638
94777 1 1 1 08001 2 1 3 1 125.354980123575
94779 1 1 1 08001 2 1 3 1 115.160314971565
94781 1 1 1 08001 2 1 3 1 97.021273619234
94783 1 1 1 08001 2 1 3 1 112.693476376241
94785 1 1 1 08001 2 1 3 1 107.883042970397
94787 1 1 1 08001 2 1 3 2 111.629315746969
94789 1 1 1 08001 2 1 3 2 104.709429662681
94791 1 1 1 08001 2 1 3 1 99.5602807410638
94793 1 1 1 08001 2 1 3 1 102.123471990743
94795 1 1 1 08001 1 1 1 2 114.526982585962
94797 1 1 1 08001 1 1 1 4 113.077045538167
94799 1 1 1 08001 2 1 3 2 105.695190180554
94801 1 1 1 08001 2 1 3 1 104.709429662681
94803 1 1 1 08001 2 1 1 4 119.487901446381
94805 1 1 1 08001 1 1 1 1 108.436701444319
94807 1 1 1 08001 2 1 3 1 88.6985113899011
94809 1 1 1 08001 1 1 1 1 108.436701444319
94811 1 1 1 08001 1 1 1 1 108.436701444319
94813 1 1 1 08001 1 1 1 4 117.111891805922
94815 1 1 1 08001 2 1 1 2 122.491085098132
94817 1 1 1 08001 2 1 1 1 124.437623478534
94819 1 1 1 08001 1 1 1 4 114.062806056041
94821 1 1 1 08001 2 1 1 4 116.693617374131
94823 1 1 1 08001 2 1 1 2 115.094468672045
94825 1 1 1 08001 1 1 1 4 106.89600865224
94827 1 1 1 08001 2 1 1 2 120.473661964254
94829 1 1 1 08001 1 1 1 4 106.851380354393
